Drug A,Drug B,Strain,Specie,Bliss Score,Source,Drug Pair,Drug A Inchikey,Drug B Inchikey,Interaction Type
acetylsalicylic acid,ciprofloxacin,streptococcus pneumoniae,streptococcus pneumoniae,0.1436,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,antagonism
tobramycin,acetylsalisylic acid,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.6685,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",NLVFBUXFDBBNBW-PBSUHMDJSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
tobramycin,acetylsalisylic acid,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.5912,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')",NLVFBUXFDBBNBW-PBSUHMDJSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
nitrofurantoin,acetylsalisylic acid,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,-0.1105,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')",NXFQHRVNIOXGAQ-YCRREMRBSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
nitrofurantoin,acetylsalisylic acid,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.0534,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')",NXFQHRVNIOXGAQ-YCRREMRBSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
acetylsalicylic acid,nitrofurantoin,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.0978,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,neutral
acetylsalicylic acid,nitrofurantoin,staphylococcus aureus newman,staphylococcus aureus,-0.0905,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,neutral
acetylsalicylic acid,lincomycin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1987,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,antagonism
bleomycin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,0.2306,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')",OYVAGSVQBOHSSS-WXFSZRTFSA-O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
bleomycin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.2211,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')",OYVAGSVQBOHSSS-WXFSZRTFSA-O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,hexestrol,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.4542,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'PBBGSZCBWVPOOL-HDICACEKSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,PBBGSZCBWVPOOL-HDICACEKSA-N,synergy
puromycin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,-0.0262,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')",RXWNCPJZOCPEPQ-NVWDDTSBSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
puromycin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.2272,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')",RXWNCPJZOCPEPQ-NVWDDTSBSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
caffeine,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,-0.1064,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')",RYYVLZVUVIJVGH-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
caffeine,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.0223,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')",RYYVLZVUVIJVGH-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
caffeine,acetylsalisylic acid,salmonella typhimurium 14028,salmonella typhimurium,-0.0826,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')",RYYVLZVUVIJVGH-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
caffeine,acetylsalisylic acid,salmonella typhimurium lt2,salmonella typhimurium,-0.1441,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')",RYYVLZVUVIJVGH-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
cefsulodin,acetylsalisylic acid,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,0.1844,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')",SYLKGLMBLAAGSC-QLVMHMETSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
cefsulodin,acetylsalisylic acid,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,0.2502,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')",SYLKGLMBLAAGSC-QLVMHMETSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,linezolid,streptococcus pneumoniae,streptococcus pneumoniae,0.1452,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'TYZROVQLWOKYKF-ZDUSSCGKSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,TYZROVQLWOKYKF-ZDUSSCGKSA-N,antagonism
acetylsalicylic acid,cccp,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.1375,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,UGTJLJZQQFGTJD-UHFFFAOYSA-N,synergy
acetylsalicylic acid,cccp,streptococcus pneumoniae,streptococcus pneumoniae,-0.1612,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,UGTJLJZQQFGTJD-UHFFFAOYSA-N,synergy
acetylsalicylic acid,erythromycin,bacillus subtilis,bacillus subtilis,0.1837,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,antagonism
erythromycin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,0.1262,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')",ULGZDMOVFRHVEP-RWJQBGPGSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
erythromycin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.0682,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')",ULGZDMOVFRHVEP-RWJQBGPGSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
acetylsalicylic acid,erythromycin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1004,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,antagonism
acetylsalicylic acid,erythromycin,staphylococcus aureus newman,staphylococcus aureus,0.1439,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,antagonism
acetylsalicylic acid,oxacillin,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1129,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,UWYHMGVUTGAWSP-JKIFEVAISA-N,antagonism
acetylsalicylic acid,estradiol,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1583,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'VOXZDWNPVJITMN-ZBRFXRBCSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,VOXZDWNPVJITMN-ZBRFXRBCSA-N,antagonism
acetylsalicylic acid,benzalkonium,staphylococcus aureus dsm 20231,staphylococcus aureus,0.1599,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,benzbromarone,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.3095,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WHQCHUCQKNIQEC-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,WHQCHUCQKNIQEC-UHFFFAOYSA-N,synergy
acetylsalicylic acid,chloramphenicol,staphylococcus aureus newman,staphylococcus aureus,0.0794,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,WIIZWVCIJKGZOK-RKDXNWHRSA-N,neutral
egcg,acetylsalisylic acid,salmonella typhimurium 14028,salmonella typhimurium,-0.0725,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')",WMBWREPUVVBILR-WIYYLYMNSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,neutral
egcg,acetylsalisylic acid,salmonella typhimurium lt2,salmonella typhimurium,-0.1387,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')",WMBWREPUVVBILR-WIYYLYMNSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
acetylsalicylic acid,egcg,staphylococcus aureus dsm 20231,staphylococcus aureus,0.159,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,antagonism
aztreonam,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,0.6364,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')",WZPBZJONDBGPKJ-VEHQQRBSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
aztreonam,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.6763,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')",WZPBZJONDBGPKJ-VEHQQRBSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
aztreonam,acetylsalisylic acid,salmonella typhimurium 14028,salmonella typhimurium,0.7021,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')",WZPBZJONDBGPKJ-VEHQQRBSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
aztreonam,acetylsalisylic acid,salmonella typhimurium lt2,salmonella typhimurium,0.5537,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WZPBZJONDBGPKJ-VEHQQRBSSA-N')",WZPBZJONDBGPKJ-VEHQQRBSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,tedizolid,bacillus subtilis,bacillus subtilis,-0.1842,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,synergy
acetylsalicylic acid,tolfenamic,staphylococcus aureus dsm 20231,staphylococcus aureus,-0.2635,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,synergy
novobiocin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,0.1318,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')",YJQPYGGHQPGBLI-KGSXXDOSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
novobiocin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,0.3351,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')",YJQPYGGHQPGBLI-KGSXXDOSSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,antagonism
acetylsalicylic acid,fosfomycin,bacillus subtilis,bacillus subtilis,-0.2909,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,synergy
fosfomycin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,-0.516,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
fosfomycin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,-0.3727,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
fosfomycin,acetylsalisylic acid,pseudomonas aeruginosa pa14,pseudomonas aeruginosa,-0.1248,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
fosfomycin,acetylsalisylic acid,pseudomonas aeruginosa pao1,pseudomonas aeruginosa,-0.1902,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')",YMDXZJFXQJVXBF-STHAYSLISA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
pyocyanin,acetylsalisylic acid,escherichia coli bw25113,escherichia coli,-0.3821,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')",YNCMLFHHXWETLD-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
pyocyanin,acetylsalisylic acid,escherichia coli iai1,escherichia coli,-0.1504,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')",YNCMLFHHXWETLD-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
pyocyanin,acetylsalisylic acid,salmonella typhimurium 14028,salmonella typhimurium,-0.1836,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')",YNCMLFHHXWETLD-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
pyocyanin,acetylsalisylic acid,salmonella typhimurium lt2,salmonella typhimurium,-0.2617,Brochado,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')",YNCMLFHHXWETLD-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,synergy
acetylsalicylic acid,cephalexin,streptococcus pneumoniae,streptococcus pneumoniae,0.2407,Cacace,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'ZAIPMKNFIOOWCQ-UEKVPHQBSA-N')",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,antagonism
mecillinam,gentamicin,escherichia coli bw25113,escherichia coli,0.0711,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,neutral
mecillinam,gentamicin,escherichia coli iai1,escherichia coli,0.2822,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,antagonism
bacitracin,mecillinam,escherichia coli bw25113,escherichia coli,-0.1427,Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')",CLKOFPXJLQSYAH-ABRJDSQDSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
bacitracin,mecillinam,escherichia coli iai1,escherichia coli,-0.1017,Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')",CLKOFPXJLQSYAH-ABRJDSQDSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
bacitracin,mecillinam,salmonella typhimurium 14028,salmonella typhimurium,-0.1662,Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')",CLKOFPXJLQSYAH-ABRJDSQDSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
bacitracin,mecillinam,salmonella typhimurium lt2,salmonella typhimurium,-0.0892,Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'CLKOFPXJLQSYAH-ABRJDSQDSA-N')",CLKOFPXJLQSYAH-ABRJDSQDSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,neutral
mecillinam,meropenem,salmonella typhimurium 14028,salmonella typhimurium,-0.6216,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'DMJNNHOOLUXYBV-PQTSNVLCSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,synergy
mecillinam,meropenem,salmonella typhimurium lt2,salmonella typhimurium,-0.1593,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'DMJNNHOOLUXYBV-PQTSNVLCSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,synergy
cycloserine d,mecillinam,salmonella typhimurium 14028,salmonella typhimurium,-0.5689,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')",DYDCUQKUCUHJBH-UWTATZPHSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
cycloserine d,mecillinam,salmonella typhimurium lt2,salmonella typhimurium,-0.671,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'DYDCUQKUCUHJBH-UWTATZPHSA-N')",DYDCUQKUCUHJBH-UWTATZPHSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
mecillinam,chlorhexidine,salmonella typhimurium 14028,salmonella typhimurium,0.1724,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,antagonism
mecillinam,chlorhexidine,salmonella typhimurium lt2,salmonella typhimurium,0.1206,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,antagonism
cefotaxime,mecillinam,escherichia coli bw25113,escherichia coli,-0.1583,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
cefotaxime,mecillinam,escherichia coli iai1,escherichia coli,-0.2486,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
cefotaxime,mecillinam,salmonella typhimurium 14028,salmonella typhimurium,-0.2205,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
cefotaxime,mecillinam,salmonella typhimurium lt2,salmonella typhimurium,-0.5778,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')",GPRBEKHLDVQUJE-QSWIMTSFSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
fusidic acid,mecillinam,escherichia coli bw25113,escherichia coli,0.148,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')",IECPWNUMDGFDKC-MZJAQBGESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,antagonism
fusidic acid,mecillinam,escherichia coli iai1,escherichia coli,0.1086,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')",IECPWNUMDGFDKC-MZJAQBGESA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,antagonism
trimethoprim,mecillinam,escherichia coli bw25113,escherichia coli,-0.2294,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')",IEDVJHCEMCRBQM-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
trimethoprim,mecillinam,escherichia coli iai1,escherichia coli,0.0905,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')",IEDVJHCEMCRBQM-UHFFFAOYSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,neutral
piperacillin,mecillinam,salmonella typhimurium 14028,salmonella typhimurium,-0.4525,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')",IVBHGBMCVLDMKU-GXNBUGAJSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
piperacillin,mecillinam,salmonella typhimurium lt2,salmonella typhimurium,-0.6312,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')",IVBHGBMCVLDMKU-GXNBUGAJSA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,synergy
mecillinam,penicillin g,salmonella typhimurium 14028,salmonella typhimurium,-0.2492,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,synergy
mecillinam,penicillin g,salmonella typhimurium lt2,salmonella typhimurium,-0.1589,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,synergy
mecillinam,rifampicin,escherichia coli bw25113,escherichia coli,0.1314,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,antagonism
mecillinam,rifampicin,escherichia coli iai1,escherichia coli,0.2979,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,antagonism
mecillinam,rifampicin,salmonella typhimurium 14028,salmonella typhimurium,0.2411,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,antagonism
mecillinam,rifampicin,salmonella typhimurium lt2,salmonella typhimurium,0.3178,ACDB;Brochado,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')",BWWVAEOLVKTZFQ-NTZNESFSSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,antagonism
